ID,Project,Cost,Status
A001,Project 1,1002000.0,Finished
A002,Project 2,2000000.0,Ongoing
A003,Project 3,4500000.0,Finished
A004,Project 4,5500000.0,Ongoing
A005,Project 5,3250500.0,Finished
A002,Project 6,680000.0,Failed
A005,Project 7,400000.0,Finished
A003,Project 8,350000.0,Failed
A001,Project 9,2210312.5,Ongoing
A003,Project 10,300000.0,Finished
A001,Project 11,2000000.0,Failed
A004,Project 12,1000000.0,Ongoing
A004,Project 13,3000000.0,Finished
A005,Project 14,200000.0,Finished
